city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Tehran,35.6892,51.3889,Iran,IR,Tehrān,primary,14148000,9033003
Kāshān,33.9833,51.4333,Iran,IR,Eşfahān,minor,5000000,304487
Mashhad,36.3000,59.6000,Iran,IR,Khorāsān-e Raẕavī,admin,3372090,3001184
Eşfahān,32.6447,51.6675,Iran,IR,Eşfahān,admin,2219343,1961260
Karaj,35.8272,50.9489,Iran,IR,Alborz,admin,1973470,1592492
Shīrāz,29.6100,52.5425,Iran,IR,Fārs,admin,1565572,1565572
Tabrīz,38.0814,46.3006,Iran,IR,Āz̄arbāyjān-e Sharqī,admin,1558693,1558693
Ahvāz,31.3203,48.6692,Iran,IR,Khūzestān,admin,1261042,1184788
Qom,34.6400,50.8764,Iran,IR,Qom,admin,1201158,1201158
Kermānshāh,34.3142,47.0650,Iran,IR,Kermānshāh,admin,952285,945651
Kermān,30.2833,57.0833,Iran,IR,Kermān,admin,738374,537718
Orūmīyeh,37.5486,45.0675,Iran,IR,Āz̄arbāyjān-e Gharbī,admin,736224,736224
Rasht,37.2808,49.5831,Iran,IR,Gīlān,admin,679995,679995
Bahār,34.9072,48.4414,Iran,IR,Hamadān,minor,673405,673405
Zāhedān,29.4964,60.8628,Iran,IR,Sīstān va Balūchestān,admin,587730,587730
Hamadān,34.8064,48.5161,Iran,IR,Hamadān,admin,554406,554406
Yazd,31.8822,54.3397,Iran,IR,Yazd,admin,529673,529673
Ardabīl,38.2425,48.2900,Iran,IR,Ardabīl,admin,529374,529374
Bandar ‘Abbās,27.1833,56.2667,Iran,IR,Hormozgān,admin,526648,526648
Arāk,34.0917,49.6892,Iran,IR,Markazī,admin,520944,520944
Eslāmshahr,35.5606,51.2347,Iran,IR,Tehrān,minor,448129,448129
Zanjān,36.6789,48.5056,Iran,IR,Zanjān,admin,433475,433475
Sanandaj,35.3144,46.9922,Iran,IR,Kordestān,admin,412767,412767
Qazvīn,36.2667,50.0000,Iran,IR,Qazvīn,admin,402748,402748
Khorramābād,33.4878,48.3558,Iran,IR,Lorestān,admin,373416,373416
Madan,30.3392,48.3042,Iran,IR,Khūzestān,,370180,370180
Gorgān,36.8386,54.4347,Iran,IR,Golestān,admin,350676,312223
Shahrīār,35.6597,51.0592,Iran,IR,Tehrān,minor,309607,309607
Shahr-e Qods,35.7214,51.1089,Iran,IR,Tehrān,minor,309605,309605
Malārd,35.6658,50.9767,Iran,IR,Tehrān,minor,281027,281027
Sartā,36.4491,53.3234,Iran,IR,Māzandarān,,271467,271467
Dezfūl,32.3825,48.4019,Iran,IR,Khūzestān,minor,264709,264709
Bābol,36.5514,52.6789,Iran,IR,Māzandarān,minor,250217,250217
Qā’em Shahr,36.4631,52.8600,Iran,IR,Māzandarān,,247953,204953
Khomeynī Shahr,32.7003,51.5211,Iran,IR,Eşfahān,minor,247128,218737
Sabzevār,36.2125,57.6819,Iran,IR,Khorāsān-e Raẕavī,minor,243700,243700
